carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,481,1411,476
FR,Italy,Italy,3531,6528,3496
FR,Italy,Morocco,239,435,237
AZ,Italy,United States,180,905,178
W6,Italy,Italy,756,1066,749
FR,Italy,Spain,2141,4381,2120
W6,Italy,Egypt,150,263,149
LA,Italy,Brazil,9,71,9
NO,Italy,Spain,1,18,1
AZ,Italy,,0,114,0
NO,Italy,United States,0,4,0
AZ,Italy,Tunisia,8,41,8
W6,Italy,United Arab Emirates,72,107,71
LH,Italy,,0,33,0
BA,Italy,United States,212,584,210
IB,Italy,Spain,206,118,204
TU,Italy,Tunisia,0,63,0
SM,Egypt,Italy,8,33,8
SN,Italy,United Kingdom,0,2,0
SM,Italy,Egypt,49,226,49
KL,Italy,United States,77,244,76
BA,Italy,,23,53,23
TP,Italy,United States,30,22,30
LA,Colombia,Colombia,20,46,20
UG,Tunisia,Italy,0,5,0
TU,Tunisia,Italy,0,9,0
W6,Italy,Morocco,47,34,47
UX,Italy,Spain,9,36,9
PR,Philippines,Philippines,7,9,7
AT,Italy,Morocco,79,172,78
UX,Spain,Spain,4,10,4
AF,Italy,Dominican Republic,0,8,0
AT,Morocco,Italy,11,50,11
4Z,South Africa,South Africa,0,0,0
TK,Italy,,0,33,0
UX,Italy,United States,7,4,7
FR,Spain,Italy,342,411,339
W6,Italy,Albania,235,366,233
AZ,Egypt,Italy,0,6,0
MS,Italy,Egypt,0,129,0
TU,France,Tunisia,0,17,0
FR,Italy,United Kingdom,391,673,387
AF,Italy,United States,68,124,67
FR,Italy,France,420,706,416
AZ,Tunisia,Italy,3,10,3
LH,Italy,United States,162,141,160
AY,Italy,United States,12,63,12
AZ,Italy,France,39,133,39
LX,Italy,,0,16,0
FR,Italy,Greece,624,1193,618
AZ,Italy,Morocco,2,15,2
LH,Colombia,Italy,4,0,4
OS,Italy,Kenya,0,2,0
LX,Italy,United States,31,78,31
FR,Italy,Austria,220,288,218
IB,Spain,Italy,41,30,41
IB,Italy,Colombia,17,23,17
AF,Italy,,8,30,8
AC,Italy,Canada,18,84,18
EK,Italy,,0,5,0
