carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,547,1841,542
FR,Italy,Italy,4388,7977,4345
FR,Italy,Spain,2742,5775,2715
W6,Italy,Italy,1124,1068,1113
LA,Italy,Brazil,17,59,17
NO,Italy,Spain,1,52,1
FR,Italy,Morocco,130,397,129
AZ,Italy,,0,180,0
AZ,Italy,United States,197,1171,195
AZ,Italy,Tunisia,11,62,11
BA,Italy,,40,100,40
IB,Italy,Spain,232,234,230
LH,Italy,United States,119,169,118
EK,Italy,,0,16,0
UG,Tunisia,Italy,0,15,0
AZ,Italy,Morocco,30,125,30
TU,Italy,Tunisia,0,69,0
LA,Brazil,Brazil,1,19,1
AZ,Morocco,Italy,7,14,7
W6,Italy,Egypt,259,226,256
UX,Spain,Spain,19,12,19
W6,Italy,United Arab Emirates,95,88,94
TS,Italy,Canada,5,23,5
LG,Italy,Luxembourg,11,28,11
SM,Italy,Egypt,45,267,45
LH,Italy,,0,46,0
NO,Italy,Maldives,0,5,0
LA,Colombia,Colombia,4,27,4
UG,Italy,Tunisia,0,21,0
TK,Italy,United States,2,5,2
W6,Italy,Spain,324,511,321
NO,Spain,Italy,0,3,0
EW,Germany,Italy,77,124,76
IB,Italy,,3,18,3
SM,Egypt,Italy,18,37,18
FR,Italy,Greece,808,1630,800
FR,Italy,Malta,383,667,379
KM,Malta,Italy,0,23,0
W6,Italy,Jordan,66,49,65
SQ,Italy,Cambodia,3,5,3
LA,Brazil,Italy,8,42,8
BA,Italy,United States,287,841,284
SQ,Italy,,0,12,0
AZ,Egypt,Italy,4,10,4
AZ,Tunisia,Italy,12,5,12
TK,Italy,Indonesia,10,48,10
AC,Italy,Canada,17,64,17
AS,United States,United States,0,27,0
UP,United States,The Bahamas,0,2,0
AF,Italy,United States,113,162,112
FR,Italy,Croatia,82,157,81
V7,Italy,Italy,714,627,707
KU,Italy,Thailand,6,18,6
FR,Spain,Italy,377,423,373
SN,Italy,Belgium,54,68,53
FR,Italy,Denmark,114,244,113
FR,Italy,Portugal,425,848,421
NO,Italy,United States,0,18,0
SP,Portugal,Portugal,6,29,6
TU,France,Tunisia,0,7,0
AZ,Italy,Brazil,11,67,11
LH,Italy,Canada,8,16,8
BA,United States,United States,0,7,0
QR,Italy,,0,15,0
FR,Italy,Jordan,25,81,25
IB,Italy,United States,23,187,23
AZ,Italy,France,27,140,27
LA,Spain,Ecuador,0,2,0
TK,Italy,Kenya,4,20,4
UX,Italy,Brazil,4,17,4
NO,Italy,Senegal,0,11,0
LH,Italy,Republic of Ireland,8,6,8
EK,Italy,Indonesia,89,16,88
IB,Italy,Ecuador,9,16,9
AZ,Italy,Germany,14,53,14
FR,Italy,Hungary,122,223,121
AZ,United States,Italy,4,7,4
FR,Italy,Austria,216,324,214
LH,Italy,Costa Rica,1,2,1
LA,Peru,,0,1,0
W6,Italy,Morocco,54,56,53
KL,Italy,Dominican Republic,3,29,3
AZ,Germany,Italy,15,22,15
AZ,United States,United States,0,0,0
UX,Italy,Spain,11,38,11
AT,Morocco,Italy,9,45,9
EY,Italy,Thailand,18,29,18
FI,Italy,,0,1,0
LH,Jamaica,Uruguay,0,0,0
LX,Italy,,0,26,0
LH,Germany,Italy,63,79,62
LH,Italy,Brazil,22,34,22
PG,Thailand,Thailand,54,48,53
LH,Italy,Mexico,1,11,1
VS,France,United States,0,9,0
AZ,Italy,Spain,30,210,30
KL,Italy,United States,88,314,87
BR,Italy,,0,0,0
TU,Tunisia,Italy,0,11,0
JU,Turkey,Italy,4,3,4
BR,Indonesia,Italy,0,0,0
EK,Saudi Arabia,Pakistan,0,2,0
TP,Portugal,Portugal,18,10,18
TK,Germany,India,1,0,1
AT,Italy,Morocco,41,126,41
IB,Italy,Dominican Republic,14,12,14
FR,Italy,France,443,858,439
TK,Italy,Singapore,7,13,7
MH,Malaysia,Malaysia,6,13,6
G3,Brazil,Brazil,0,18,0
FR,Italy,Belgium,212,288,210
QR,Thailand,Italy,5,3,5
SQ,Italy,Thailand,16,24,16
SQ,Japan,Italy,1,2,1
AZ,Italy,Israel,1,10,1
IB,France,Spain,3,6,3
W6,Romania,Israel,1,1,1
PR,South Korea,Philippines,0,0,0
EY,Italy,Indonesia,14,22,14
4Z,South Africa,South Africa,0,0,0
W6,Italy,Romania,220,213,218
LH,France,,0,0,0
TK,Turkey,Italy,14,25,14
AZ,Spain,India,1,8,1
MS,Egypt,Egypt,0,32,0
TP,Italy,Brazil,54,141,53
RJ,Italy,Thailand,2,7,2
EK,Italy,Australia,21,10,21
LH,Italy,Georgia,3,0,3
LH,Italy,Argentina,17,20,17
U2,Italy,Spain,1093,213,1082
AM,Mexico,Mexico,0,33,0
QF,Australia,Australia,5,1,5
TG,Thailand,Thailand,6,6,6
FR,Italy,United Kingdom,395,892,391
PR,Philippines,Philippines,8,7,8
PD,Canada,United States,7,7,7
NO,Italy,Mexico,0,13,0
TK,Italy,Qatar,0,5,0
AZ,Italy,Japan,64,216,63
WS,United States,Italy,0,10,0
AZ,Italy,India,4,16,4
KM,Italy,Germany,0,1,0
EY,Australia,Italy,0,2,0
LH,Portugal,Italy,3,0,3
AF,Italy,Brazil,7,21,7
WE,Thailand,Thailand,2,7,2
LH,United States,United States,0,12,0
LH,Italy,Norway,8,13,8
LA,Peru,Peru,2,9,2
LH,Bermuda,The Bahamas,0,0,0
AZ,Mexico,Italy,0,0,0
LH,Italy,Sri Lanka,0,0,0
KM,Italy,Switzerland,0,2,0
W6,Albania,Germany,1,4,1
LH,Mexico,Italy,1,1,1
TN,United States,French Polynesia,0,0,0
AM,Mexico,Italy,0,9,0
SK,Norway,Norway,0,7,0
AZ,Germany,United States,0,0,0
AZ,Italy,Argentina,9,58,9
TP,Brazil,France,0,0,0
LH,United States,Antigua and Barbuda,0,0,0
W6,Spain,Italy,63,35,62
SQ,Italy,Indonesia,6,10,6
LH,Poland,Italy,0,1,0
QR,Italy,Sri Lanka,4,11,4
SN,Belgium,Italy,26,22,26
SN,Italy,,0,2,0
LH,Germany,,0,0,0
EY,Italy,Philippines,4,20,4
EY,Italy,,7,8,7
LG,Luxembourg,Italy,7,5,7
W6,United Arab Emirates,Italy,8,2,8
TK,Italy,Maldives,1,11,1
LH,Italy,The Bahamas,0,0,0
AC,Italy,United States,0,5,0
W6,Italy,Hungary,171,155,169
NO,Italy,Canada,6,2,6
TK,Italy,Vietnam,0,5,0
OS,Italy,Bulgaria,1,0,1
BA,Bermuda,The Bahamas,0,0,0
UA,Italy,Canada,4,6,4
LH,United States,Italy,5,6,5
TB,Morocco,Italy,0,13,0
FR,Israel,Italy,14,4,14
BT,Latvia,Sweden,5,3,5
ET,Argentina,Italy,0,0,0
BA,Ecuador,Italy,0,0,0
SQ,Japan,Indonesia,2,7,2
QR,Italy,Qatar,2,2,2
UX,Colombia,Italy,1,5,1
LH,Italy,Estonia,3,0,3
3M,United States,United States,0,1,0
AY,Slovenia,,0,0,0
TK,Italy,Belarus,0,0,0
VA,Australia,Australia,7,3,7
EK,Thailand,Italy,9,6,9
HB,Hong Kong,South Korea,0,3,0
WS,Canada,Italy,0,3,0
LH,Republic of Ireland,Italy,5,3,5
LH,Italy,Ecuador,0,0,0
IB,Italy,Chile,1,10,1
TK,Italy,Brazil,0,4,0
EI,Italy,United States,34,5,34
FJ,Australia,Fiji,0,0,0
LO,Italy,Japan,0,53,0
LA,Chile,Chile,2,6,2
BA,Spain,United States,0,0,0
TS,Canada,Italy,5,0,5
NT,Spain,Spain,0,9,0
AT,Italy,The Gambia,0,8,0
UX,Italy,El Salvador,0,1,0
BA,United Kingdom,Japan,0,0,0
S4,Portugal,Portugal,2,24,2
LH,Italy,Poland,8,2,8
AZ,Italy,Belgium,11,38,11
LH,Italy,Guatemala,0,0,0
TK,Belgium,,0,1,0
UX,Spain,Italy,7,28,7
OS,Italy,Canada,0,5,0
DY,Poland,Sweden,3,0,3
LH,Switzerland,United States,0,0,0
FR,Germany,Italy,52,121,51
TK,Italy,Guatemala,0,3,0
BA,United States,Italy,16,3,16
TK,Italy,,0,27,0
JL,Japan,Japan,6,13,6
Z8,Bolivia,Paraguay,0,0,0
LH,Italy,Philippines,0,0,0
EY,Malaysia,Italy,3,0,3
IB,Italy,Peru,20,6,20
AZ,Italy,Dominican Republic,0,4,0
CI,Italy,,0,2,0
LH,France,Denmark,0,0,0
LA,Italy,Argentina,3,10,3
LG,Germany,Luxembourg,0,1,0
AF,Italy,Mexico,10,24,10
FR,Italy,Netherlands,47,105,47
MF,China,Italy,0,2,0
AZ,Italy,Algeria,0,5,0
FR,Italy,Romania,74,203,73
LH,Luxembourg,Italy,1,0,1
EY,Italy,Sri Lanka,3,3,3
LX,Italy,Republic of Ireland,2,1,2
LA,Bolivia,Peru,0,1,0
TG,Thailand,Vietnam,1,0,1
KL,Italy,,10,48,10
AH,Italy,Algeria,0,11,0
WS,Italy,,0,6,0
QR,Germany,India,0,0,0
DY,Sweden,Italy,1,7,1
7C,Japan,South Korea,1,3,1
EK,Italy,Philippines,4,7,4
QV,Thailand,Laos,0,2,0
AT,Italy,Benin,0,0,0
QR,United Arab Emirates,Qatar,0,0,0
TK,Spain,Singapore,0,0,0
KM,France,Malta,0,5,0
BA,United States,Mexico,0,0,0
TG,Thailand,Australia,0,0,0
AZ,Italy,Singapore,0,0,0
MS,Italy,South Africa,0,8,0
IB,Italy,El Salvador,4,3,4
LX,Poland,India,0,1,0
