carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,674,1314,667
FR,Italy,Italy,3625,5458,3589
AZ,Italy,United States,590,808,584
LA,Italy,Brazil,24,61,24
NO,Italy,Spain,10,25,10
FR,Italy,Morocco,166,252,164
AZ,Italy,,0,105,0
FR,Italy,Spain,1699,2655,1682
LH,Italy,United States,133,137,132
1L,Italy,Italy,0,0,0
TK,Italy,Turkey,108,302,107
NO,Italy,Egypt,9,26,9
W6,Italy,Jordan,68,62,67
AT,Morocco,Italy,6,18,6
V7,Italy,Italy,969,745,959
AZ,Italy,Tunisia,9,54,9
LH,United States,United States,0,0,0
JU,Italy,Turkey,18,45,18
NO,United States,Italy,2,1,2
W6,Italy,Egypt,121,145,120
FR,Italy,Greece,689,1142,682
EY,Italy,Indonesia,37,36,37
IB,Italy,Spain,145,106,144
1L,Italy,United Kingdom,0,0,0
EK,Egypt,United Arab Emirates,1,14,1
AF,Italy,,2,25,2
1L,Italy,France,0,0,0
AZ,United States,United States,0,0,0
NO,Italy,United States,17,3,17
V7,Italy,Greece,560,277,554
1L,Italy,Spain,0,0,0
FR,Italy,France,321,483,318
W4,Italy,Spain,463,607,458
AF,Italy,United States,42,71,42
AT,Italy,Morocco,60,143,59
SM,Italy,Egypt,22,89,22
NO,Italy,Madagascar,2,6,2
TK,Italy,,0,17,0
AZ,Egypt,Italy,4,14,4
TU,Tunisia,Italy,0,9,0
KL,Italy,United States,32,211,32
TK,Italy,Egypt,9,33,9
BA,Italy,,3,12,3
TC,Tanzania,Tanzania,0,3,0
FR,Italy,Malta,286,503,283
AZ,Italy,Morocco,12,69,12
TP,Italy,United States,13,24,13
SM,Egypt,Italy,7,14,7
BA,Italy,United States,156,214,154
AZ,Italy,Egypt,8,66,8
IB,Italy,Peru,23,14,23
FR,Portugal,Italy,74,91,73
BA,United States,United States,0,5,0
NP,Egypt,Egypt,0,14,0
TU,Italy,Tunisia,0,57,0
JU,Turkey,Italy,5,8,5
LH,Italy,Mexico,2,2,2
QR,Italy,,0,12,0
FR,Italy,Belgium,131,154,130
W6,Italy,Greece,273,329,270
JU,Serbia,Italy,3,7,3
TK,Turkey,Italy,6,24,6
KL,Italy,Dominican Republic,7,20,7
TS,Italy,Canada,40,20,40
FR,Italy,United Kingdom,386,496,382
1L,Italy,Germany,0,0,0
W6,Italy,United Arab Emirates,22,76,22
EK,Italy,United States,65,17,64
CZ,Italy,Australia,0,4,0
FR,Italy,Portugal,231,403,229
PG,Thailand,Thailand,26,55,26
AZ,United States,Italy,8,6,8
NO,Italy,Dominican Republic,6,12,6
FD,Thailand,Thailand,0,67,0
EK,Slovenia,Indonesia,0,12,0
FR,Spain,Italy,322,285,319
AZ,Italy,Algeria,0,23,0
KM,Malta,Italy,0,24,0
AZ,Tunisia,Italy,2,6,2
CA,China,Italy,0,9,0
AC,Canada,United States,4,8,4
SK,Italy,Norway,20,26,20
NO,Italy,Mexico,4,15,4
OD,Malaysia,Indonesia,0,7,0
LX,Italy,,0,24,0
CZ,Italy,,0,3,0
MU,Italy,,0,0,0
IB,Italy,Dominican Republic,4,15,4
TK,United Kingdom,Turkey,0,1,0
KQ,Italy,Kenya,4,6,4
AF,Italy,Tunisia,0,0,0
IB,Italy,Senegal,3,12,3
U2,Italy,Italy,1597,228,1581
TK,Italy,South Africa,6,10,6
LH,Italy,Guatemala,0,1,0
UG,Italy,Tunisia,0,14,0
W6,Italy,Hungary,109,150,108
LX,Italy,United States,37,36,37
DX,Italy,Italy,0,116,0
XK,France,France,0,1,0
EK,Italy,Philippines,2,5,2
FR,Italy,Jordan,19,43,19
B6,United States,Dominican Republic,0,2,0
FR,United Kingdom,Italy,99,89,98
W4,Italy,United Kingdom,189,160,187
KU,Bangladesh,Italy,0,4,0
EK,Hong Kong,Spain,0,1,0
EK,Hong Kong,Italy,1,0,1
EY,Italy,,12,1,12
AZ,France,United States,0,0,0
W6,United Arab Emirates,Italy,6,25,6
SV,Saudi Arabia,Jordan,0,0,0
FR,Italy,Austria,142,183,141
BA,United Kingdom,,0,2,0
FR,Italy,Poland,81,167,80
QR,United Arab Emirates,Thailand,0,3,0
MS,Germany,Egypt,1,5,1
AV,Colombia,Colombia,5,27,5
OS,Italy,Thailand,23,65,23
MU,Japan,Italy,0,10,0
CL,Switzerland,,0,0,0
IB,Italy,,4,3,4
UG,Tunisia,Italy,0,1,0
A3,Italy,,0,6,0
AY,Italy,United States,20,69,20
AI,India,New Zealand,0,3,0
TK,Germany,Turkey,3,10,3
TG,Thailand,Thailand,14,17,14
2W,Spain,Dominican Republic,0,8,0
FR,Spain,Spain,72,32,71
EY,Italy,Saudi Arabia,2,3,2
MH,Thailand,Malaysia,0,1,0
LH,United States,Mexico,0,0,0
TP,United Kingdom,Morocco,0,0,0
FR,Czech Republic,Italy,20,25,20
LH,Italy,Indonesia,0,33,0
AZ,Italy,Dominican Republic,0,4,0
FR,Italy,Germany,192,229,190
LH,Italy,,0,52,0
VA,Australia,Australia,3,2,3
LO,Poland,Poland,4,1,4
TP,Italy,,0,19,0
CA,Thailand,Italy,0,4,0
U2,Italy,Germany,95,15,94
AZ,Italy,Costa Rica,0,2,0
EI,Italy,United States,17,8,17
MH,Malaysia,,0,2,0
KL,Italy,,8,21,8
EY,United Arab Emirates,Oman,1,0,1
AZ,Italy,Fiji,0,0,0
MU,Italy,Indonesia,0,27,0
BA,Italy,Mexico,5,5,5
U2,Italy,Switzerland,47,19,47
TK,Thailand,Italy,0,4,0
