carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,706,1989,699
FR,Italy,Italy,5678,8384,5622
NO,Italy,United States,34,18,34
AZ,Italy,United States,218,1133,216
NO,Italy,Egypt,117,51,116
FR,Italy,Morocco,137,378,136
LA,Italy,Brazil,30,83,30
FR,Italy,Spain,2774,5395,2747
NO,Italy,Spain,26,38,26
LH,Italy,United States,148,142,147
AZ,Italy,Morocco,34,72,34
W6,Italy,Italy,593,842,587
AZ,Italy,,0,113,0
AT,Italy,Morocco,45,122,45
UG,Tunisia,Italy,0,6,0
LH,United States,United States,0,9,0
TU,Tunisia,Italy,0,39,0
FR,Italy,Malta,526,738,521
EK,Italy,,0,9,0
DQ,Saudi Arabia,Egypt,0,0,0
IB,Italy,Spain,166,206,164
QR,Italy,,0,16,0
AC,Italy,Canada,37,71,37
FR,Italy,Denmark,109,204,108
KL,Italy,United States,91,217,90
NO,Egypt,Italy,23,5,23
BA,Italy,United States,310,449,307
FR,Italy,United Kingdom,697,929,690
TK,Italy,,0,45,0
AZ,Italy,Tunisia,19,42,19
W6,Italy,Egypt,270,276,267
SM,Egypt,Italy,7,32,7
U2,Italy,Spain,1132,175,1121
FR,Italy,Portugal,462,764,457
KL,Italy,,10,24,10
SM,Italy,Egypt,35,193,35
JU,Italy,Serbia,24,7,24
AR,Italy,Argentina,0,121,0
TP,Italy,United States,13,13,13
FR,Italy,Belgium,198,244,196
V7,Italy,Italy,1241,921,1229
PU,Spain,Colombia,0,1,0
TK,Denmark,Turkey,0,0,0
JU,Italy,Turkey,2,12,2
EI,Italy,United States,29,11,29
KM,Malta,Italy,0,25,0
UX,Italy,Tunisia,0,15,0
W6,Italy,Morocco,21,20,21
JU,Serbia,Italy,4,5,4
TU,Italy,Tunisia,0,72,0
FR,Italy,Bulgaria,22,67,22
AF,Italy,United States,118,179,117
LA,Peru,United States,2,1,2
LA,Colombia,Colombia,12,27,12
NO,Spain,Italy,8,3,8
EY,Italy,,6,5,6
LH,Italy,Canada,7,25,7
IB,Spain,Italy,59,29,58
LA,Ecuador,Ecuador,1,2,1
EK,Italy,Mauritius,0,69,0
W6,Italy,Jordan,52,64,51
CY,Italy,Lebanon,0,12,0
UG,Italy,Tunisia,0,4,0
FR,Italy,Poland,141,137,140
QF,Australia,Italy,7,8,7
LH,Italy,,0,40,0
EK,Italy,United States,63,22,62
S4,France,,0,0,0
FR,Italy,Greece,820,1633,812
4Z,South Africa,South Africa,3,4,3
IB,Italy,Colombia,33,22,33
LA,Brazil,Italy,19,108,19
TK,Argentina,Italy,0,0,0
LH,Italy,Denmark,9,7,9
W6,Spain,Italy,14,44,14
V7,Italy,Greece,478,490,473
TP,United States,,0,3,0
ET,Nigeria,Italy,0,0,0
AC,Italy,,0,5,0
NO,Italy,Mexico,4,4,4
AF,Italy,Kenya,1,2,1
NO,Italy,Maldives,12,2,12
JU,Turkey,Italy,1,5,1
AH,Italy,Niger,0,2,0
LA,Peru,Argentina,16,4,16
IB,Italy,United States,17,129,17
AI,India,India,0,0,0
G3,Brazil,Brazil,0,40,0
GF,Thailand,Greece,0,19,0
AF,Italy,,1,48,1
FR,Italy,Hungary,153,218,151
TK,Italy,United States,29,9,29
LH,Spain,Germany,1,9,1
LX,Italy,United States,47,86,47
EK,Italy,Indonesia,13,16,13
LA,Peru,Peru,2,6,2
LX,Mexico,,0,0,0
AY,Italy,Japan,4,5,4
GQ,Greece,Greece,32,33,32
EY,Italy,Thailand,28,24,28
AF,Canada,Italy,1,0,1
UX,Spain,Spain,5,18,5
NO,Dominican Republic,Italy,9,6,9
AZ,United States,United States,0,0,0
FR,Italy,Austria,233,286,231
TK,Italy,Egypt,11,18,11
FR,Italy,France,485,748,480
ET,Benin,Italy,0,0,0
QR,Vietnam,,0,0,0
JU,Netherlands,Greece,0,1,0
KL,Italy,Dominican Republic,10,30,10
EY,Italy,India,12,15,12
VJ,India,Vietnam,0,1,0
TG,Thailand,Thailand,10,16,10
MS,Italy,,0,6,0
WY,Oman,India,1,0,1
IB,Italy,Portugal,6,11,6
EK,Italy,Laos,0,2,0
AT,Italy,Cameroon,0,1,0
EY,Italy,Seychelles,9,15,9
TP,Brazil,Portugal,1,0,1
AZ,Italy,France,39,86,39
EK,United Kingdom,,0,0,0
FR,Italy,Netherlands,67,95,66
NO,Italy,Mauritius,1,0,1
TS,Canada,,1,0,1
FJ,Singapore,,0,0,0
SV,Italy,Thailand,31,66,31
EY,Italy,Indonesia,61,54,60
BA,United States,The Bahamas,0,3,0
EW,Germany,Italy,92,43,91
G3,Brazil,Italy,0,6,0
RJ,Italy,Jordan,0,14,0
AS,United States,United States,0,42,0
FR,Netherlands,Italy,21,23,21
AF,United States,Italy,4,1,4
UX,Italy,Spain,10,32,10
IB,Italy,Senegal,4,4,4
EY,Australia,Italy,0,2,0
BR,Italy,,0,1,0
A3,Lebanon,Italy,3,14,3
AZ,Spain,,0,0,0
QR,Romania,,0,0,0
IB,Italy,Dominican Republic,14,18,14
AZ,Italy,Singapore,0,2,0
IB,Italy,Mexico,13,44,13
W6,Italy,Republic of Macedonia,27,11,27
GF,Italy,,0,6,0
LH,United States,Italy,2,3,2
TP,Italy,Cape Verde,12,16,12
KU,Italy,Philippines,3,16,3
QR,Vietnam,Italy,0,0,0
JZ,Peru,Peru,0,1,0
EY,India,United Arab Emirates,0,0,0
TS,Canada,Italy,0,4,0
OD,Australia,Indonesia,0,0,0
IB,Spain,Greece,0,1,0
AM,Brazil,Spain,0,4,0
FZ,Sri Lanka,Italy,1,2,1
TS,Italy,Canada,66,38,65
IB,France,Spain,7,3,7
QR,Italy,Qatar,3,8,3
DY,Italy,Norway,1,73,1
AH,France,Algeria,0,2,0
AZ,United States,Costa Rica,0,0,0
AZ,Tunisia,Italy,1,4,1
LX,United States,Italy,3,4,3
GF,United Kingdom,Pakistan,0,0,0
FR,Italy,Norway,10,42,10
EY,Italy,Pakistan,11,3,11
JL,Italy,Japan,1,4,1
NO,Italy,Dominican Republic,15,7,15
FR,Italy,Croatia,115,186,114
UX,Italy,Brazil,8,14,8
OS,Italy,United States,0,9,0
FR,Italy,Jordan,39,78,39
EK,Italy,Australia,15,21,15
AZ,Italy,Belgium,21,59,21
UX,Brazil,,0,1,0
AZ,Italy,India,10,34,10
NO,Italy,Madagascar,15,3,15
AZ,Italy,Spain,56,190,55
WT,Spain,Spain,0,4,0
AZ,Italy,Belize,0,0,0
AZ,Italy,Egypt,9,28,9
AZ,Italy,Argentina,15,83,15
FR,Croatia,Germany,0,0,0
BR,Thailand,Austria,0,1,0
VS,Sweden,United States,0,0,0
LH,Italy,Oman,6,6,6
SV,Italy,Saudi Arabia,2,10,2
AF,Italy,Australia,0,4,0
LH,Italy,French Polynesia,0,0,0
QR,Italy,Pakistan,1,1,1
AC,Italy,United States,17,19,17
TP,France,Brazil,3,1,3
IB,Portugal,Italy,11,2,11
SQ,Italy,Cambodia,0,1,0
W6,Italy,Albania,124,268,123
MS,Italy,Kenya,0,12,0
EY,Italy,Bangladesh,0,0,0
EK,Ethiopia,Serbia,0,0,0
MH,Malaysia,Malaysia,1,3,1
FR,Portugal,United Kingdom,0,1,0
8F,Portugal,São Tomé and Príncipe,0,0,0
DT,Portugal,Brazil,0,0,0
TP,Italy,Senegal,6,24,6
EK,Slovenia,,0,0,0
TU,Italy,Libya,0,1,0
KQ,Italy,Kenya,8,18,8
ET,Italy,Mozambique,3,4,3
AZ,Italy,Ivory Coast,0,2,0
FR,Italy,Germany,234,345,232
FR,Italy,Sweden,45,113,45
HU,Thailand,China,0,0,0
FR,Portugal,Portugal,20,4,20
QR,Italy,Thailand,27,38,27
FR,Italy,Czech Republic,99,155,98
AT,Morocco,Italy,8,24,8
FR,Spain,Spain,98,75,97
TC,Tanzania,Tanzania,0,1,0
3M,The Bahamas,United States,0,3,0
CA,China,Italy,0,15,0
AC,Canada,United States,1,1,1
MH,Italy,Malaysia,0,40,0
W6,Italy,United Arab Emirates,109,132,108
SQ,Italy,Indonesia,4,16,4
GF,Italy,Thailand,0,39,0
SP,Portugal,Portugal,3,7,3
FR,Portugal,Italy,90,115,89
NO,Italy,Senegal,16,8,16
AZ,Italy,Switzerland,9,46,9
TP,Italy,Brazil,36,121,36
U2,Italy,France,1169,123,1157
TK,Italy,Turkey,105,313,104
AR,Argentina,Argentina,0,6,0
JU,Hungary,Montenegro,0,0,0
UX,Italy,El Salvador,0,2,0
TK,Italy,South Africa,2,5,2
LH,Kenya,Italy,7,7,7
ET,Italy,,0,8,0
SN,Italy,,0,2,0
2W,Mexico,Spain,0,1,0
LH,Italy,Mexico,1,7,1
LH,Italy,Germany,219,361,217
TK,Pakistan,,0,1,0
LA,Italy,Argentina,1,8,1
TP,Venezuela,Italy,0,5,0
NO,Canada,Italy,0,0,0
HU,China,Italy,0,3,0
RJ,Egypt,Italy,0,3,0
AZ,Israel,Italy,0,2,0
FR,Italy,Romania,116,247,115
OB,Bolivia,Peru,0,4,0
AF,Austria,Brazil,1,0,1
AF,Italy,Martinique,4,2,4
TR,Indonesia,Singapore,1,2,1
2S,Switzerland,Turkey,0,3,0
LA,Peru,Bolivia,3,2,3
EE,Italy,Germany,0,3,0
DL,United States,Puerto Rico,3,0,3
WS,Canada,United States,2,2,2
AA,United States,Sint Maarten,2,0,2
FR,Belgium,Romania,0,1,0
KL,Chile,Italy,0,1,0
VY,Croatia,Italy,4,1,4
I2,Italy,Spain,57,0,56
HA,United States,United States,0,8,0
FR,Spain,France,3,3,3
4Z,Botswana,Italy,0,2,0
VY,Italy,The Gambia,2,5,2
U2,Portugal,Spain,12,1,12
TK,Italy,Cuba,0,2,0
AF,Italy,Madagascar,0,5,0
BT,Sweden,Latvia,0,1,0
W6,Austria,United Arab Emirates,0,1,0
U2,United Kingdom,Japan,0,1,0
TR,Australia,Indonesia,1,0,1
LX,Italy,Czech Republic,0,3,0
FR,United Kingdom,Belgium,1,0,1
PR,United Arab Emirates,Indonesia,0,1,0
LX,France,Thailand,2,0,2
EI,Republic of Ireland,United Kingdom,1,0,1
H4,Moldova,Italy,0,14,0
LA,Chile,Argentina,1,0,1
W4,Italy,Thailand,0,1,0
AF,France,Japan,0,5,0
VY,Italy,Senegal,2,2,2
TK,Italy,Eritrea,1,0,1
V7,Greece,France,0,2,0
W6,Bulgaria,Italy,5,4,5
BA,Spain,United States,0,2,0
TR,Singapore,,0,1,0
LA,Peru,Aruba,0,1,0
TK,South Sudan,Sweden,2,0,2
KI,Malaysia,Malaysia,0,3,0
3L,Oman,United Arab Emirates,0,2,0
VY,Chile,Spain,0,1,0
QR,Hungary,Indonesia,0,3,0
VY,Italy,Panama,0,1,0
WF,Italy,Norway,0,1,0
LX,Spain,Switzerland,1,0,1
OS,Croatia,Italy,1,0,1
AZ,Italy,United Kingdom,19,41,19
FR,Israel,Italy,4,3,4
GQ,Greece,Italy,7,31,7
HC,Senegal,Italy,0,4,0
LO,Italy,South Korea,0,7,0
TK,Italy,Nigeria,3,7,3
TK,Malta,,0,4,0
UA,Spain,,0,1,0
S4,Portugal,,0,4,0
AT,Italy,United States,1,2,1
