carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,489,1315,484
FR,Italy,Italy,3396,5465,3362
AZ,Italy,United States,146,847,145
NO,Italy,Egypt,16,35,16
LA,Italy,Brazil,19,40,19
NO,Italy,Spain,11,18,11
LH,Italy,United States,140,141,139
TU,Italy,Tunisia,0,73,0
AZ,Italy,,0,97,0
W6,Italy,Egypt,132,302,131
NO,Italy,United States,17,16,17
FR,Italy,Morocco,175,327,173
FR,Italy,Spain,1785,2691,1767
TK,Italy,Turkey,104,220,103
JU,Italy,Turkey,20,74,20
LH,Italy,,0,44,0
FR,Italy,Greece,534,903,529
V7,Italy,Italy,705,717,698
EY,Italy,Indonesia,19,26,19
IB,Italy,Spain,175,139,173
W6,Italy,United Arab Emirates,45,124,45
UX,Portugal,Italy,0,1,0
EK,Italy,,0,8,0
W6,Italy,Hungary,241,216,239
TP,Italy,United States,12,48,12
BA,Italy,United States,213,314,211
GQ,Greece,Greece,22,33,22
G3,Brazil,Brazil,0,26,0
AF,Italy,United States,122,329,121
NO,Italy,Senegal,7,6,7
SM,Egypt,Italy,9,34,9
TU,Tunisia,Italy,0,16,0
LH,United States,United States,0,2,0
FR,Italy,Malta,363,535,359
NO,Italy,Maldives,9,4,9
UG,Tunisia,Italy,0,1,0
FR,Italy,Germany,200,236,198
AZ,Italy,Tunisia,12,29,12
LA,Colombia,Colombia,23,3,23
AT,Italy,Morocco,43,133,43
AZ,Italy,Morocco,10,51,10
TC,Tanzania,Tanzania,0,12,0
KM,Malta,Italy,0,26,0
FR,Spain,Italy,293,348,290
U2,Italy,Spain,955,200,946
FR,Italy,Austria,180,240,178
UX,Spain,Morocco,0,1,0
AY,Italy,United States,14,51,14
IB,Italy,Argentina,35,3,35
BA,United States,United States,0,1,0
NO,Italy,Dominican Republic,5,14,5
DX,Italy,Italy,0,83,0
FR,Italy,United Kingdom,511,608,506
1L,Italy,Spain,0,0,0
BA,Italy,,17,19,17
3U,China,Italy,0,2,0
H2,Peru,Peru,0,13,0
LX,Italy,United States,37,29,37
W6,France,Italy,21,7,21
SK,Italy,,1,4,1
B6,United States,United States,0,38,0
BA,Mexico,Italy,1,2,1
NO,Egypt,Italy,17,14,17
KL,Italy,United States,47,156,47
QR,Italy,,0,23,0
AS,United States,United States,0,22,0
IB,Italy,Senegal,1,7,1
TK,Italy,,0,8,0
FR,Italy,Jordan,14,37,14
LH,United States,Dominican Republic,0,0,0
1L,Italy,Italy,0,0,0
AZ,Italy,Spain,29,130,29
AZ,United States,Italy,5,17,5
TG,Thailand,Thailand,5,3,5
TP,Portugal,Portugal,7,6,7
W6,Italy,Jordan,53,40,52
JU,Turkey,Italy,1,8,1
AT,Morocco,Italy,11,32,11
TP,Italy,,0,24,0
MU,Italy,Indonesia,0,24,0
ET,Switzerland,Burundi,0,0,0
U2,Italy,Italy,1696,218,1679
TK,Pakistan,Italy,0,1,0
UL,Sri Lanka,Canada,0,0,0
JL,Italy,Japan,2,2,2
AR,Argentina,Argentina,0,3,0
NO,Italy,Madagascar,3,2,3
FR,Portugal,Portugal,7,7,7
MU,Italy,Australia,0,11,0
W6,United Arab Emirates,Italy,8,15,8
AZ,United States,Dominican Republic,0,0,0
BT,Italy,Latvia,12,7,12
FD,Thailand,Thailand,0,46,0
W6,Italy,Serbia,9,8,9
EY,Thailand,United Arab Emirates,0,0,0
NO,Spain,Italy,1,0,1
AZ,Italy,Panama,0,3,0
RJ,Egypt,Italy,0,2,0
1L,Italy,Hungary,0,0,0
AZ,Tunisia,Italy,1,12,1
TU,Italy,Burkina Faso,0,3,0
EK,Italy,United States,68,26,67
SM,Italy,Egypt,22,140,22
WY,Italy,Malaysia,4,5,4
U2,Italy,France,722,112,715
U2,Morocco,France,1,4,1
1L,Italy,France,0,0,0
AY,Hong Kong,Italy,1,1,1
BA,Italy,Japan,0,2,0
UG,Italy,Tunisia,0,3,0
EY,Italy,,3,5,3
WY,United Arab Emirates,Germany,0,0,0
PW,Tanzania,Tanzania,0,2,0
AZ,Mexico,Italy,0,0,0
FR,Italy,Portugal,218,329,216
LH,India,United States,0,0,0
BR,Italy,Japan,0,31,0
AF,Italy,Mauritius,0,1,0
LH,Mexico,Italy,0,0,0
CM,United States,Brazil,0,6,0
AF,Italy,El Salvador,0,6,0
FR,Italy,Cyprus,25,44,25
FR,United Kingdom,Italy,94,100,93
IB,Italy,,4,10,4
FR,France,Italy,53,48,52
EI,Italy,United States,36,26,36
FR,Italy,Belgium,121,157,120
U2,Italy,Greece,724,86,717
TK,Italy,South Africa,0,2,0
KU,Saudi Arabia,Bangladesh,0,0,0
AZ,United States,United States,0,0,0
IB,Italy,United States,6,30,6
AZ,Dominican Republic,United States,0,0,0
HA,United States,United States,0,21,0
U2,Morocco,Italy,0,4,0
QR,Italy,Qatar,5,3,5
CZ,Italy,Vietnam,2,3,2
UL,Thailand,Sri Lanka,0,1,0
QR,Italy,Thailand,34,70,34
TX,France,Mexico,0,1,0
BA,New Zealand,Italy,0,0,0
IB,Italy,Peru,32,11,32
JU,Italy,Serbia,39,12,39
1L,Italy,Austria,0,0,0
KL,Italy,Dominican Republic,1,14,1
KL,United States,Italy,2,0,2
TK,Italy,Egypt,6,9,6
FR,Italy,Romania,69,199,68
TK,Kenya,,0,0,0
JU,Republic of Macedonia,Italy,0,0,0
W6,Italy,France,102,125,101
LH,Italy,Hungary,17,27,17
LY,Italy,Israel,13,1,13
TK,Italy,Seychelles,2,2,2
TK,United Kingdom,Turkey,1,3,1
U2,Portugal,Italy,49,19,49
KM,United Kingdom,Italy,0,0,0
AZ,Italy,Costa Rica,0,2,0
TK,Bulgaria,Turkey,4,1,4
EK,Pakistan,India,0,0,0
EK,Italy,Maldives,10,7,10
CA,Italy,Thailand,0,22,0
MS,Egypt,Saudi Arabia,0,1,0
FR,Italy,Norway,25,62,25
WY,Italy,Thailand,1,131,1
LA,Peru,,0,0,0
EK,Slovenia,Indonesia,0,0,0
6E,India,India,20,7,20
JU,Serbia,Italy,16,13,16
WY,Italy,Sri Lanka,0,4,0
MS,Egypt,Egypt,0,13,0
SV,Italy,,0,3,0
FR,Italy,Finland,18,33,18
FR,Spain,Portugal,5,10,5
TK,Italy,United States,21,4,21
1L,Italy,Romania,0,0,0
CX,Italy,Taiwan,0,0,0
TK,Turkey,Italy,8,24,8
TK,Turkey,United Kingdom,0,0,0
IB,Germany,Portugal,2,0,2
OM,Germany,Mongolia,0,0,0
U2,Spain,Italy,174,21,172
4Z,South Africa,South Africa,4,3,4
NO,United States,Italy,2,1,2
BR,Indonesia,Italy,0,3,0
FR,Hungary,Italy,42,80,42
AZ,United States,French Polynesia,0,0,0
BA,United States,Dominican Republic,0,0,0
EK,Italy,New Zealand,1,1,1
UG,Tunisia,Tunisia,0,0,0
AZ,Italy,Japan,42,108,42
1L,Italy,United Kingdom,0,0,0
FR,Spain,Spain,71,38,70
W6,Italy,Czech Republic,91,223,90
S4,Portugal,Portugal,0,1,0
HY,Uzbekistan,Turkey,0,0,0
KM,France,Italy,0,5,0
TK,Italy,Australia,0,5,0
JL,Italy,,0,1,0
UK,India,India,0,6,0
TK,Pakistan,France,0,2,0
DY,Italy,Norway,0,103,0
QR,Italy,India,10,14,10
HY,United Arab Emirates,Uzbekistan,0,0,0
SV,Italy,Kenya,0,7,0
OS,Italy,Thailand,25,40,25
LH,United States,Italy,4,10,4
BA,Cyprus,Canada,0,0,0
KU,India,Italy,0,4,0
KL,Italy,Faroe Islands,1,2,1
W4,Italy,Spain,526,764,521
FR,Republic of Ireland,Italy,25,26,25
PD,Canada,Canada,5,2,5
EY,Indonesia,Italy,2,7,2
FR,Italy,Hungary,91,350,90
AY,Italy,Japan,2,2,2
DY,Italy,Denmark,0,67,0
SN,Germany,,0,0,0
UP,United States,The Bahamas,0,0,0
TU,Italy,Ivory Coast,0,14,0
TU,Morocco,Tunisia,0,0,0
1L,Italy,Republic of Ireland,0,0,0
AZ,Italy,Brazil,15,63,15
