carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,567,1505,561
FR,Italy,Italy,4457,6855,4413
NO,Italy,Spain,42,28,42
DX,Italy,Italy,0,165,0
W6,Italy,Italy,1000,1046,990
LA,Italy,Brazil,13,55,13
FR,Italy,Spain,2467,4538,2443
NO,Italy,Egypt,90,36,89
FR,Italy,Morocco,142,304,141
UG,Italy,Tunisia,0,7,0
AZ,Italy,,0,130,0
AZ,Italy,United States,216,918,214
QR,Italy,,0,16,0
SM,Egypt,Italy,8,45,8
EY,Italy,Seychelles,49,49,49
BA,Italy,United States,245,570,243
AZ,Italy,Tunisia,5,34,5
EK,Italy,,0,16,0
SM,Italy,Egypt,40,216,40
W6,Italy,Egypt,161,180,159
AT,Italy,Morocco,35,117,35
IB,Italy,Spain,229,228,227
TK,Italy,,0,34,0
V7,Italy,Italy,761,806,753
TU,Italy,Tunisia,0,71,0
LA,Colombia,Colombia,7,34,7
IB,Spain,Italy,41,37,41
LH,Italy,United States,126,149,125
FR,Italy,Greece,776,1662,768
AZ,Italy,Morocco,21,51,21
W6,Italy,Jordan,32,52,32
JU,Italy,Serbia,19,7,19
G3,Brazil,Brazil,0,23,0
FR,Italy,Austria,266,306,263
NO,Italy,United States,18,3,18
FR,Italy,United Kingdom,387,617,383
LH,Italy,,0,40,0
AF,Italy,Mexico,2,33,2
NO,United States,Italy,2,1,2
EK,Slovenia,Indonesia,0,8,0
FR,Italy,France,424,719,420
KL,Italy,Dominican Republic,5,34,5
FR,Germany,Italy,70,113,69
W6,Italy,United Arab Emirates,104,138,103
KL,Italy,United States,49,251,49
H2,Peru,Peru,0,4,0
EY,Italy,Indonesia,29,62,29
3U,China,Italy,0,0,0
QV,Thailand,Laos,0,1,0
TP,Italy,United States,18,35,18
JU,Italy,Turkey,3,4,3
AF,Italy,,0,18,0
BA,Italy,,47,83,47
NO,Italy,Maldives,10,2,10
TK,Italy,Thailand,32,30,32
NH,Indonesia,Japan,0,0,0
CA,China,Italy,0,4,0
FR,Italy,Hungary,124,187,123
JL,Italy,Japan,3,20,3
SP,Portugal,Portugal,8,12,8
TP,Italy,Brazil,37,189,37
AT,Morocco,Italy,6,26,6
WY,Italy,Malaysia,0,44,0
FR,Italy,Jordan,24,56,24
TK,Italy,Mauritius,0,0,0
NO,Spain,Italy,11,2,11
JL,Italy,,0,11,0
LH,Italy,Brazil,17,45,17
EI,Italy,United States,18,7,18
UG,Tunisia,Italy,0,2,0
FR,Italy,Belgium,218,325,216
UX,Italy,Brazil,5,8,5
AZ,Tunisia,Italy,1,5,1
W6,Italy,Morocco,57,60,56
QR,Italy,Malaysia,11,14,11
AV,Brazil,Spain,0,3,0
