carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
AZ,Italy,Italy,789,2073,781
FR,Italy,Italy,4894,8959,4846
NO,Italy,Egypt,100,38,99
FR,Italy,Morocco,197,424,195
NO,Italy,Spain,23,19,23
FR,Italy,Spain,2762,5343,2735
LA,Italy,Brazil,22,76,22
MS,Italy,Egypt,0,108,0
NO,Spain,Italy,8,2,8
AZ,Italy,United States,265,1266,262
AT,Italy,Morocco,59,184,58
AZ,Italy,,0,154,0
V7,Italy,Italy,1287,1165,1274
LA,Colombia,Colombia,17,19,17
NO,Egypt,Italy,14,9,14
U2,Italy,Spain,815,231,807
IB,Italy,Spain,241,266,239
SK,Italy,,1,14,1
SM,Egypt,Italy,34,44,34
FR,Italy,Greece,782,1463,774
TK,Italy,,0,45,0
AZ,Italy,Morocco,5,55,5
W6,Italy,Egypt,223,200,221
FR,Italy,Malta,482,810,477
IB,Spain,Italy,77,53,76
W6,Italy,United Arab Emirates,90,170,89
UG,Italy,Tunisia,0,17,0
TU,Italy,Tunisia,0,153,0
QR,Italy,,0,22,0
NO,Italy,United States,29,8,29
LH,Italy,United States,156,124,154
TU,Tunisia,Italy,0,66,0
UX,Spain,Spain,13,19,13
FR,Italy,France,426,821,422
AZ,Italy,Tunisia,7,31,7
IB,Italy,United States,30,189,30
AT,Morocco,Italy,6,41,6
NO,Italy,Maldives,6,1,6
FR,Italy,Czech Republic,96,210,95
FR,Italy,Germany,229,357,227
SM,Italy,Egypt,37,197,37
EK,Sri Lanka,Italy,0,4,0
EK,Italy,Indonesia,33,18,33
BA,Italy,Japan,0,2,0
FR,Italy,Belgium,154,276,152
FR,Italy,Portugal,383,757,379
KM,Malta,Italy,0,27,0
FR,Italy,United Kingdom,627,963,621
AY,Italy,,0,7,0
JU,Turkey,Italy,11,11,11
BR,Indonesia,Italy,0,10,0
G3,Brazil,Brazil,0,37,0
AZ,Tunisia,Italy,2,9,2
JU,Italy,Turkey,2,21,2
UG,Tunisia,Tunisia,0,0,0
UA,Italy,,14,8,14
LA,Peru,Peru,0,11,0
LA,Chile,United States,1,4,1
NO,Italy,Dominican Republic,13,9,13
TP,Italy,United States,18,41,18
TK,Italy,United States,21,8,21
EI,Italy,United States,31,8,31
TP,Italy,Brazil,83,236,82
LX,Italy,,0,16,0
